cohort,case,method,n,MAE,RMSE,MBE,median_AE,P95_AE,max_AE,CCC,fit_R2,slope,intercept,source_file,P99_AE
520-view validation,C1,EIGCM (MF1),18720,0.0065352119711538,0.0177837990948815,-0.0035855036271367,0.0007386,0.0259140999999999,0.7100477000000001,0.9947392615756042,0.9899606065679464,0.9894089891395004,-0.0007308518577851,dgp_metrics.csv,
520-view validation,C1,Jones dcglare,18720,0.0176727792148239,0.0615096899800439,0.0002518650738058,0.0017383623203552,0.0774245549999996,0.6832005,0.9366013765458264,0.8773680296254537,0.924754073782822,0.0205333017791069,dgp_metrics.csv,
520-view validation,C1,Raytraverse Balanced,18720,0.0223853744337278,0.0829856804881847,-0.0036907345617519,0.002152360928424,0.0811765380822951,0.817752,0.8838444024093789,0.7818432146560768,0.866974262656154,0.0321644034868951,dgp_metrics.csv,
520-view validation,C1,Raytraverse High,18720,0.0218905130844586,0.0832363601623542,-0.0021159479830037,0.0017729862088107,0.0811877390233476,0.817752,0.8843370108044175,0.782233722329065,0.876422995942405,0.0311924224766939,dgp_metrics.csv,
520-view validation,C2,EIGCM (MF1),18720,0.0075047453899572,0.0149663356224133,-0.0043544671955128,0.00294265,0.0271521099999999,,0.9973194468626656,0.9951179679335624,1.002075627023436,-0.0050058452690034,dgp_metrics.csv,0.0480236890000001
520-view validation,C2,Jones dcglare,18720,0.0094798733400929,0.0183304545168565,-0.0040714662564878,0.0030012550341704,0.0352126249999999,,0.9959453567475338,0.9923181962889296,0.99240513328375,-0.001688027616408,dgp_metrics.csv,0.0629193710000006
520-view validation,C2,Raytraverse Balanced,18720,0.0242662382304829,0.058305432681005,-0.0128546987176744,0.0051047609178037,0.101351174524018,,0.957176125559366,0.9223011110397648,0.9136579089106788,0.0142413760201851,dgp_metrics.csv,0.2720534164518668
520-view validation,C3,EIGCM (MF1),18720,0.000801139417735,0.0053444222274116,-1.0343424145298984e-05,4.5400000000001e-05,0.0018541249999999,0.1716919,0.9962001770388628,0.9924828371481392,1.0045159408398991,-0.000791526374155,dgp_metrics.csv,
520-view validation,C3,Jones dcglare,18720,0.0125686885913767,0.0542705416345319,-0.0098665077885281,0.0010344266434038,0.0227882986018977,0.3687511528921519,0.2597957204131133,0.4643680439977624,0.1386694429789846,0.1391294089698233,dgp_metrics.csv,
520-view validation,C3,Raytraverse Balanced,18720,0.0067811386622652,0.0402809114484623,0.0001207000632056,0.001012130958229,0.0030274017492845,0.3839342431737794,0.7795885428297264,0.6078581528126235,0.7698425619031549,0.0399341238509282,dgp_metrics.csv,
520-view validation,C3,Raytraverse High,18720,0.0066179842833812,0.0394773953630355,0.0003450924845103,0.0010097297556759,0.0031149413352437,0.3800455864616382,0.7896856656089618,0.6236460994505675,0.7849724616410401,0.0375412942736258,dgp_metrics.csv,
520-view validation,C4,EIGCM (MF1),18720,0.0054892709935897,0.0137027754787824,-0.0014199406517094,0.0007203,0.023024825,0.3306417,0.9966533750648364,0.993400436001773,0.9933700938912676,0.0003271823857319,dgp_metrics.csv,
520-view validation,C4,Jones dcglare,18720,0.0164530394355319,0.0568060440191817,0.0020573231322054,0.0018409073945287,0.0613617599999999,0.6256746,0.9424587238710372,0.8883756648206355,0.9389205398705486,0.0181530762479395,dgp_metrics.csv,
520-view validation,C4,Raytraverse Balanced,18720,0.0202678144378554,0.0774020376297157,0.0004114228952951,0.0022164621307782,0.0700603212886697,0.818406,0.8946782572104148,0.8005406117621421,0.9040876400419434,0.0256863952568782,dgp_metrics.csv,
520-view validation,C4,Raytraverse High,18720,0.0201042816183194,0.0766366831088734,0.001181674402789,0.0020053128617401,0.0713995325536724,0.818406,0.8971124475308087,0.8050045276257229,0.909733828917194,0.0249687544027134,dgp_metrics.csv,
