cohort,case,method,n,slope,intercept,R2,MAE,RMSE,MBE,CCC,median_AE,P95_AE,source_file
Annual two-view,C1,EIGCM (MF1),8786,1.0014712540766435,-0.0031382213344747,0.990571720868566,0.0072263677669018,0.019515820326102,-0.0026639569997723,0.9951658796959434,,,C1_two_view_DGP_scatter_updated_metrics.csv
Annual two-view,C1,Jones dcglare,8786,0.8824240935919665,0.0285710291628731,0.7994880322667682,0.036657392926327,0.0909560510158644,-0.0093300104432965,0.8930571112005197,,,C1_two_view_DGP_scatter_updated_metrics.csv
Annual two-view,C1,Raytraverse Balanced,8786,0.9231344913589524,0.0233602176348293,0.8344733709886942,0.0226797796446882,0.0827671819644542,-0.0014176707638574,0.91342161387745,,,C1_two_view_DGP_scatter_updated_metrics.csv
Annual two-view,C1,Raytraverse High,8786,0.9213549377295068,0.0274840668616385,0.8359754048572435,0.0204162338316915,0.08226019594366,0.0021325325974726,0.914237327926292,,,C1_two_view_DGP_scatter_updated_metrics.csv
Annual two-view,C2,EIGCM (MF1),8769,1.0238438746443463,-0.0092646862631377,0.9965023395219268,0.008827108290569,0.0149023252044893,-3.09809556391831e-05,0.997929826724065,0.0053846999999999,0.0307354,prism_v1_v2_combined_manuscript_metrics.csv
Annual two-view,C2,Jones dcglare,8769,1.028691584877916,-0.0246829260825767,0.9731277931831224,0.0218595818143459,0.041892078081226,-0.0135719114710913,0.9839460369019696,0.01230639,0.1219936600000007,prism_v1_v2_combined_manuscript_metrics.csv
Annual two-view,C2,Raytraverse Balanced,8769,0.97963628254815,0.0052101833534534,0.9762636253564744,0.015573012512259,0.0353371285460699,-0.0026758070201847,0.9879560858837716,0.00600786,0.0665680239999999,prism_v1_v2_combined_manuscript_metrics.csv
Annual two-view,C3,EIGCM (MF1),8786,1.0438392620201522,-0.0070729243435592,0.9940807423256331,0.0008197884247666,0.0047064321542813,0.0003895937058957,0.9959602364178818,5.990000000000162e-05,0.0009595999999999,ec_v1_v2_combined_manuscript_metrics.csv
Annual two-view,C3,Jones dcglare,8786,0.1252136666081175,0.1344253670680198,0.0343486487382378,0.017024170177702,0.0580046035256485,-0.014484730901981,0.1629688042123407,0.0010923949218634,0.159,ec_v1_v2_combined_manuscript_metrics.csv
Annual two-view,C3,Raytraverse Balanced,8786,1.0100704422679558,-0.0005132651652034,0.9475898017448672,0.0021329352124237,0.0122194055682805,0.0012009712002734,0.9725203518207072,0.0009863458214857,0.0020248895260056,ec_v1_v2_combined_manuscript_metrics.csv
Annual two-view,C3,Raytraverse High,8786,1.0140325789274731,-0.0010171451874278,0.9509213413714992,0.0020987530444991,0.0118835224502414,0.0013715440537032,0.9740705758748516,0.0009814216915147,0.0020462524385362,ec_v1_v2_combined_manuscript_metrics.csv
Annual two-view,C4,EIGCM (MF1),8786,0.9919025212594732,-0.0013230913079004,0.98486785791598,0.0072630168563623,0.0245131884963111,-0.0039253745162758,0.992206635737896,0.0022326499999999,0.0267869999999999,trans_v1_v2_combined_manuscript_metrics.csv
Annual two-view,C4,Jones dcglare,8786,0.8879590392344514,0.0257065237209005,0.796829375436228,0.036238006710676,0.0913400125815872,-0.0103000309355793,0.8914079709910058,0.00306767,0.2212458749999999,trans_v1_v2_combined_manuscript_metrics.csv
Annual two-view,C4,Raytraverse Balanced,8786,0.9250142394330764,0.0257167030026439,0.8327729091649217,0.0212871638629638,0.0827375784688901,0.0016185618597769,0.9124495673824444,0.00183358,0.1016007125,trans_v1_v2_combined_manuscript_metrics.csv
Annual two-view,C4,Raytraverse High,8786,0.9162321258480284,0.0272102945833032,0.8284818128479072,0.0203061023264284,0.083503687161385,0.0002898494309128,0.9101889862330464,0.001249435,0.0807661325,trans_v1_v2_combined_manuscript_metrics.csv
