case,n,slope,intercept,R2,MAE,RMSE,MBE,CCC
C1,18720,0.8861960571954657,0.0246076285199416,0.869456338407851,0.0193223765764616,0.0631797070640874,-0.0060665565002828,0.930645611077246
C2,18720,0.9740110543027716,0.0009177835461026,0.9917486348203428,0.0106534455929129,0.0202161884132918,-0.0072381275059215,0.9949799428009852
C4,18720,0.9017551670467032,0.0225289213583161,0.880680376392346,0.0174418899907552,0.0581707087891195,-0.0033607078682905,0.9375042863258798
