case,reference_range,method,n,MAE,RMSE,MBE,median_AE,P95_AE,max_AE,CCC,fit_R2,slope,intercept,source_file,P99_AE
C1,DGP < 0.34,EIGCM (MF1),15270,0.004587333713163,0.0103231849989243,-0.0024043825147347,0.0004762999999999,0.02189965,0.3301783,0.977068081988767,0.9596653181171222,0.9296752656916184,0.012034954732435,stratified_dgp_metrics.csv,
C1,DGP < 0.34,Jones dcglare,15270,0.0054461133417565,0.0137255078044714,0.0014582253277358,0.0015731170725749,0.021920530574954,0.3275181,0.962784781766907,0.9288573056307804,0.9978951206207396,0.0018904070276835,stratified_dgp_metrics.csv,
C1,DGP < 0.34,Raytraverse Balanced,15270,0.0084617879483843,0.0425803382236341,0.0028228970629138,0.0015569150807386,0.0260337940688271,0.817752,0.7354913300673748,0.5907452660289978,1.0322271303263666,-0.0037940977663922,stratified_dgp_metrics.csv,
C1,DGP < 0.34,Raytraverse High,15270,0.0081794341933726,0.0435407863780092,0.0034251606763307,0.0013536406170276,0.0245074305008595,0.817752,0.7302151085525602,0.5893987428389307,1.0506187248811536,-0.0069680650751607,stratified_dgp_metrics.csv,
C1,0.34 <= DGP < 0.38,EIGCM (MF1),878,0.0138615597949886,0.0177324297684977,-0.0105779602505694,0.0113123499999999,0.03404349,0.0903237,0.4761548523457874,0.4246737019019569,1.0447783828296515,-0.0266378241532523,stratified_dgp_metrics.csv,
C1,0.34 <= DGP < 0.38,Jones dcglare,878,0.0239082762236204,0.055814891859514,0.0112186604506392,0.00757435,0.1164048649999999,0.4025658,0.1127702457415877,0.0882123728421905,1.4474414205652462,-0.1492571733023972,stratified_dgp_metrics.csv,
C1,0.34 <= DGP < 0.38,Raytraverse Balanced,878,0.0391738827885879,0.0968432763607302,0.0011649800104867,0.0166702114549255,0.1096458723528812,0.655348,0.0292811923146312,0.015359946402254,1.034133609161289,-0.0110771127806507,stratified_dgp_metrics.csv,
C1,0.34 <= DGP < 0.38,Raytraverse High,878,0.0362243507097695,0.0955340256953151,0.0055531362160045,0.0137678543071928,0.1039716700850486,0.655348,0.0315222129882731,0.0174247476767852,1.0858893776571164,-0.0252512749461159,stratified_dgp_metrics.csv,
C1,0.38 <= DGP < 0.45,EIGCM (MF1),865,0.0149369832369942,0.0242268408827916,-0.0099993164161849,0.0106674999999999,0.0376201799999999,0.2090662999999999,0.5861342857486559,0.4707758437364855,1.0408004320124364,-0.0267627184645497,stratified_dgp_metrics.csv,
C1,0.38 <= DGP < 0.45,Jones dcglare,865,0.0485098959801869,0.0976727164358238,0.0304369805516049,0.0123902999999999,0.2685394553631043,0.4874458,0.1033148071135862,0.0812149958896953,1.3762753049689354,-0.1241607505739527,stratified_dgp_metrics.csv,
