configuration,subset,quantity,n,slope,intercept,r2,mae,rmse,mbe,ccc
baseline_sunres9_srcnlev2,all,DGP,4376,0.967024763209786,0.00897559195186,0.9793625284981012,0.0165931882827601,0.0307935977634935,-0.0030759523934197,0.989257339545839
baseline_sunres9_srcnlev2,all,Ev_lx,4376,0.9480777868564636,55.76635001154834,0.9790938393317644,248.74030231186623,530.9570394109663,-111.34376336462294,0.988069340481642
baseline_sunres9_srcnlev2,reference_dgp_ge_0.45,DGP,968,1.0014687274792586,-0.021803273386672,0.9063127993270308,0.0436665854531061,0.060725354887781,-0.0207687212625086,0.9446262683947474
baseline_sunres9_srcnlev2,reference_dgp_ge_0.45,Ev_lx,968,0.9850365671836764,-361.1264589691429,0.9172811554853644,824.3027975903409,1085.277485014912,-491.6091305765235,0.9469484813946502
baseline_sunres9_srcnlev2,valid_contrast,Z,3314,1.0780612256335826,0.0200305633221726,0.8884204391237596,0.0859063783550076,0.1110742851151081,0.0404589394074419,0.9248013491924428
dense_sunres18_srcnlev3_full_rerun,all,DGP,4376,0.9397622909015476,0.0146936075000107,0.9860254809576106,0.0150353904650354,0.0279740446760372,-0.007321622506571,0.9908625455582196
dense_sunres18_srcnlev3_full_rerun,all,Ev_lx,4376,0.91061720957245,101.73382940787326,0.9891135378793368,231.7160027808564,495.3029985719879,-185.94204836980396,0.9891786109422324
dense_sunres18_srcnlev3_full_rerun,reference_dgp_ge_0.45,DGP,968,0.9410779097610862,0.009205994267041,0.9350024746779264,0.0407443082732881,0.0555498520454867,-0.0322979433099763,0.9503884901721243
dense_sunres18_srcnlev3_full_rerun,reference_dgp_ge_0.45,Ev_lx,968,0.9110671218391284,43.40468215948463,0.9557364388289852,811.3265383314878,1015.1895929748536,-732.0991529969208,0.9496664821704072
dense_sunres18_srcnlev3_full_rerun,valid_contrast,Z,3332,1.0914658937292916,0.006232748509843,0.9006793694753517,0.0811869247070387,0.1035743067254963,0.0302268205822515,0.934604355518095
dense_sunres18_srcnlev3_baseline_sky,all,DGP,4376,0.9413469597753004,0.0164392932663632,0.9856229140614788,0.0154654928890877,0.0276384266285306,-0.0049967837434982,0.9910934235290844
dense_sunres18_srcnlev3_baseline_sky,all,Ev_lx,4376,0.9142863892794924,121.996315221218,0.9887197647649484,235.65244415333763,481.21497286470327,-153.87041576322954,0.989819844792446
dense_sunres18_srcnlev3_baseline_sky,reference_dgp_ge_0.45,DGP,968,0.9367266718143096,0.0147047783538521,0.9356704628840308,0.0394120695532365,0.0539658424842641,-0.029864113426139,0.952838731175184
dense_sunres18_srcnlev3_baseline_sky,reference_dgp_ge_0.45,Ev_lx,968,0.912711759766729,74.14241151716021,0.9556918266295034,776.9322597958491,982.5787776336134,-687.0200119288221,0.9527789643286472
dense_sunres18_srcnlev3_baseline_sky,valid_contrast,Z,3332,1.084897658941408,0.0153120818842827,0.9034843942998638,0.0818148837499112,0.1036795521328175,0.0375831215512416,0.9341095621352916
