scope,method,n,MAE,RMSE,MBE,CCC,TP,FP,FN,recall,precision,F2
Viewpoint 1,EIGCM (MF1),4393,0.016882733211928,0.0411011979144742,-0.0049176461188254,0.9855950739778532,1840,40,82,0.9573361082206036,0.9787234042553192,0.9615384615384616
Viewpoint 1,Jones dcglare,4393,0.0276558658665437,0.0658720942958098,-0.0032369873691586,0.966065097250589,1821,43,101,0.9474505723204996,0.976931330472103,0.9532035175879398
Viewpoint 1,Raytraverse Balanced,4393,0.0449750946741878,0.1221576981633992,-0.0351652079804944,0.8465608093760754,1774,32,148,0.922996878251821,0.982281284606866,0.934274278491679
Viewpoint 2,EIGCM (MF1),4393,0.009584157546096,0.0250790756899629,0.0038674776462554,0.9945872096576338,2279,26,44,0.9810589754627635,0.9887201735357918,0.9825817021643528
Viewpoint 2,Jones dcglare,4393,0.0244654012842678,0.0583233884156309,0.0030577158863171,0.9727436270171396,2265,24,58,0.9750322858372794,0.9895150720838796,0.9778948277350832
Viewpoint 2,Raytraverse Balanced,4393,0.0224832441210864,0.067314346279214,-0.014101055249877,0.9571546597086364,2228,9,95,0.9591046061127853,0.9959767545820296,0.9662589990458844
Pooled,EIGCM (MF1),8786,0.013233445379012,0.0340460607667588,-0.0005250842362849,0.9901182378700252,4119,66,126,0.9703180212014134,0.9842293906810036,0.9730687455705171
Pooled,Jones dcglare,8786,0.0260606335754058,0.0622123397855948,-8.963574142073526e-05,0.9694912891494476,4086,67,159,0.9625441696113074,0.9838670840356368,0.9667344910803009
Pooled,Raytraverse Balanced,8786,0.0337291693976371,0.0986248559836162,-0.0246331316151857,0.9048727790181118,4002,41,243,0.942756183745583,0.9898590155824882,0.9518146791609188
