case,view_id,time_index,reference_DGP_raw,dcglare_Ev,reference_DGP,dcglare_DGPs_raw,dcglare_DGPs
C1,2,8536,0.171324,211.46444702,0.171324,0.172412963040074,0.172412963040074
C1,3,1902,0.170865,207.67211914,0.170865,0.172190353393518,0.172190353393518
C1,3,1903,0.19888,661.69519043,0.19888,0.198841507678241,0.198841507678241
C1,3,1904,0.340142,3247.05981445,0.340142,0.350602411108215,0.350602411108215
C1,3,1905,0.422863,4336.43505859,0.422863,0.4145487379392329,0.4145487379392329
C1,3,1906,0.315048,2491.98608398,0.315048,0.306279583129626,0.306279583129626
C1,3,1907,0.339268,2877.48535156,0.339268,0.3289083901365719,0.3289083901365719
C1,3,1908,0.350759,3055.65893555,0.350759,0.3393671795167849,0.3393671795167849
C1,3,1909,0.346584,2989.53051758,0.346584,0.335485441381946,0.335485441381946
C1,3,1910,0.327358,2683.6171875,0.327358,0.31752832890625,0.31752832890625
C1,3,1911,0.293532,2142.6965332,0.293532,0.28577628649884,0.28577628649884
C1,3,1912,0.249307,1429.72070312,0.249307,0.243924605273144,0.243924605273144
C1,3,1913,0.265197,1667.56396484,0.265197,0.257886004736108,0.257886004736108
C1,3,4109,0.159702,11.65761852,0.159702,0.160684302207124,0.160684302207124
C1,3,4110,0.166375,122.55726624,0.166375,0.167194111528288,0.167194111528288
C1,3,4111,0.174318,255.18496704,0.174318,0.174979357565248,0.174979357565248
C1,3,4112,0.183036,398.91485596,0.183036,0.183416302044852,0.183416302044852
C1,3,4113,0.190979,530.27319336,0.190979,0.191127036450232,0.191127036450232
C1,3,4114,0.197183,636.46478271,0.197183,0.197360482745077,0.197360482745077
C1,3,4115,0.201495,707.20074463,0.201495,0.201512683709781,0.201512683709781
C1,3,4116,0.202745,728.13470459,0.202745,0.202741507159433,0.202741507159433
C1,3,4117,0.20096,696.44073486,0.20096,0.200881071136282,0.200881071136282
C1,3,4118,0.1961,617.13830566,0.1961,0.196226018542242,0.196226018542242
C1,3,4119,0.188556,492.68566895,0.188556,0.188920648767365,0.188920648767365
C1,3,4120,0.179982,347.94869995,0.179982,0.180424588687065,0.180424588687065
C1,3,4121,0.171479,206.97000122,0.171479,0.172149139071614,0.172149139071614
C1,3,4122,0.164475,91.20153046,0.164475,0.165353529838002,0.165353529838002
C1,3,8527,0.167824,171.28900146,0.167824,0.170054664385702,0.170054664385702
C1,3,8528,0.302662,2372.33422852,0.302662,0.299256019214124,0.299256019214124
C1,3,8529,0.337864,3060.00048828,0.337864,0.339622028662036,0.339622028662036
C1,3,8530,0.403652,3693.26318359,0.403652,0.376794548876733,0.376794548876733
C1,3,8531,0.366367,3526.984375,0.366367,0.3670339828125,0.3670339828125
C1,3,8532,0.357718,3673.49243164,0.357718,0.375634005737268,0.375634005737268
C1,3,8533,0.312522,2469.04760742,0.312522,0.304933094555554,0.304933094555554
C1,3,8534,0.400357,4117.28857422,0.400357,0.4016848393067139,0.4016848393067139
C1,3,8535,0.310212,2566.43945312,0.310212,0.310649995898144,0.310649995898144
C1,3,8536,0.182079,390.44308472,0.182079,0.182919009073064,0.182919009073064
C1,4,1902,0.178673,353.24249268,0.178673,0.180735334320316,0.180735334320316
C1,4,1903,0.227972,1152.67504883,0.227972,0.227662025366321,0.227662025366321
C1,4,1904,0.45001,5237.54541016,0.45001,0.467443915576392,0.467443915576392
C1,4,1905,0.565561,6931.58300781,0.565561,0.566883922558447,0.566883922558447
C1,4,1906,0.428098,4346.62841797,0.428098,0.4151470881348389,0.4151470881348389
C1,4,1907,0.471902,5062.32275391,0.471902,0.4571583456545169,0.4571583456545169
C1,4,1908,0.495978,5443.85742188,0.495978,0.479554430664356,0.479554430664356
C1,4,1909,0.493667,5418.44433594,0.493667,0.478062682519678,0.478062682519678
C1,4,1910,0.465404,4969.25097656,0.465404,0.4516950323240719,0.4516950323240719
C1,4,1911,0.409323,4055.44799805,0.409323,0.3980547974855349,0.3980547974855349
C1,4,1912,0.331333,2745.00146484,0.331333,0.321131585986108,0.321131585986108
C1,4,1913,0.410773,3958.93505859,0.410773,0.392389487939233,0.392389487939233
C1,4,4109,0.160221,20.37759781,0.160221,0.161196164991447,0.161196164991447
C1,4,4110,0.171864,215.320755,0.171864,0.1726393283185,0.1726393283185
C1,4,4111,0.185851,450.13272095,0.185851,0.186422790719765,0.186422790719765
C1,4,4112,0.201266,705.53234863,0.201266,0.201414748864581,0.201414748864581
C1,4,4113,0.215319,939.17193604,0.215319,0.215129392645548,0.215129392645548
C1,4,4114,0.22631,1128.06018066,0.22631,0.226217132604742,0.226217132604742
C1,4,4115,0.233856,1254.3034668,0.233856,0.23362761350116,0.23362761350116
C1,4,4116,0.236353,1291.5057373,0.236353,0.23581138677951,0.23581138677951
C1,4,4117,0.232943,1233.54064941,0.232943,0.232408836120367,0.232408836120367
C1,4,4118,0.224368,1090.62658691,0.224368,0.2240197806516169,0.2240197806516169
C1,4,4119,0.21094,868.48059082,0.21094,0.210979810681134,0.210979810681134
C1,4,4120,0.195657,612.1239624,0.195657,0.19593167659288,0.19593167659288
C1,4,4121,0.180858,364.06298828,0.180858,0.181370497412036,0.181370497412036
C1,4,4122,0.168603,161.0475769,0.168603,0.16945349276403,0.16945349276403
C1,4,8527,0.172579,261.67016602,0.172579,0.175360038745374,0.175360038745374
C1,4,8528,0.341725,3085.16040039,0.341725,0.341098915502893,0.341098915502893
C1,4,8529,0.367165,3396.99951172,0.367165,0.359403871337964,0.359403871337964
C1,4,8530,0.412158,3966.77783203,0.412158,0.392849858740161,0.392849858740161
C1,4,8531,0.393646,3886.11425781,0.393646,0.3881149069334469,0.3881149069334469
C1,4,8532,0.407641,4261.65380859,0.407641,0.4101590785642329,0.4101590785642329
C1,4,8533,0.426135,4320.14453125,0.426135,0.413592483984375,0.413592483984375
C1,4,8534,0.458929,4886.83251953,0.458929,0.4468570688964109,0.4468570688964109
C1,4,8535,0.367972,3767.18212891,0.367972,0.381133590967017,0.381133590967017
C1,4,8536,0.201823,738.19927979,0.201823,0.203332297723673,0.203332297723673
C1,5,1902,0.178664,351.652771,0.178664,0.1806420176577,0.1806420176577
C1,5,1903,0.229398,1180.79675293,0.229398,0.229312769396991,0.229312769396991
C1,5,1904,0.449909,4928.73535156,0.449909,0.4493167651365719,0.4493167651365719
C1,5,1905,0.560596,6612.19189453,0.560596,0.548135664208911,0.548135664208911
C1,5,1906,0.435355,4473.25390625,0.435355,0.422580004296875,0.422580004296875
C1,5,1907,0.481361,5238.83984375,0.481361,0.4675198988281249,0.4675198988281249
C1,5,1908,0.509201,5674.08984375,0.509201,0.493069073828125,0.493069073828125
C1,5,1909,0.50908,5698.77001953,0.50908,0.494517800146411,0.494517800146411
C1,5,1910,0.482287,5281.44042969,0.482287,0.470020553222803,0.470020553222803
C1,5,1911,0.425884,4349.18994141,0.425884,0.415297449560767,0.415297449560767
C1,5,1912,0.344143,2953.74536133,0.344143,0.333384852710071,0.333384852710071
C1,5,1913,0.455038,4657.74511719,0.455038,0.433409638379053,0.433409638379053
C1,5,4109,0.160246,20.85824394,0.160246,0.161224378919278,0.161224378919278
C1,5,4110,0.172155,221.13317871,0.172155,0.172980517590277,0.172980517590277
C1,5,4111,0.186554,463.32452393,0.186554,0.187197149554691,0.187197149554691
C1,5,4112,0.202485,727.16015625,0.202485,0.202684301171875,0.202684301171875
C1,5,4113,0.216997,968.55114746,0.216997,0.216853952355902,0.216853952355902
C1,5,4114,0.228322,1163.69299316,0.228322,0.228308778698492,0.228308778698492
C1,5,4115,0.235892,1294.34912109,0.235892,0.235978293407983,0.235978293407983
C1,5,4116,0.238742,1332.75891113,0.238742,0.238232948083331,0.238232948083331
C1,5,4117,0.235023,1272.09399414,0.235023,0.234671917456018,0.234671917456018
C1,5,4118,0.2263,1123.65148926,0.2263,0.225958342419562,0.225958342419562
C1,5,4119,0.212395,893.95141602,0.212395,0.2124749481203739,0.2124749481203739
C1,5,4120,0.19662,629.76965332,0.19662,0.196967478649884,0.196967478649884
C1,5,4121,0.181427,374.72528076,0.181427,0.181996373980612,0.181996373980612
C1,5,4122,0.168847,166.00541687,0.168847,0.169744517970269,0.169744517970269
C1,5,8527,0.171683,251.72572327,0.171683,0.174776299955949,0.174776299955949
C1,5,8528,0.302423,2396.92138672,0.302423,0.300699285400464,0.300699285400464
C1,5,8529,0.326524,2827.56860352,0.326524,0.3259782770266239,0.3259782770266239
C1,5,8530,0.36426,3320.81445312,0.36426,0.354931808398144,0.354931808398144
C1,5,8531,0.371847,3552.03979492,0.371847,0.368504735961804,0.368504735961804
C1,5,8532,0.39879,4045.67675781,0.39879,0.397481225683447,0.397481225683447
C1,5,8533,0.439502,4553.97216797,0.439502,0.427318166259839,0.427318166259839
C1,5,8534,0.439083,4761.10253906,0.439083,0.4394767190428219,0.4394767190428219
C1,5,8535,0.37724,3705.2565918,0.37724,0.37749856193866,0.37749856193866
C1,5,8536,0.204597,797.77947998,0.204597,0.206829655474826,0.206829655474826
C1,6,1902,0.174009,276.08526611,0.174009,0.176206205120657,0.176206205120657
C1,6,1903,0.211307,884.10266113,0.211307,0.211896826208331,0.211896826208331
C1,6,1904,0.406864,4289.28125,0.406864,0.4117808093749999,0.4117808093749999
C1,6,1905,0.802001,6367.91650391,0.802001,0.533796698779517,0.533796698779517
C1,6,1906,0.369918,3454.75292969,0.369918,0.362793996972803,0.362793996972803
C1,6,1907,0.403446,4017.78027344,0.403446,0.395843702050928,0.395843702050928
C1,6,1908,0.421786,4293.85253906,0.421786,0.412049144042822,0.412049144042822
C1,6,1909,0.417285,4248.52929688,0.417285,0.409388669726856,0.409388669726856
C1,6,1910,0.394102,3879.12548828,0.394102,0.387704666162036,0.387704666162036
C1,6,1911,0.350113,3149.85473633,0.350113,0.344896473022571,0.344896473022571
C1,6,1912,0.289377,2108.62109375,0.289377,0.283776058203125,0.283776058203125
C1,6,1913,0.369,3314.42138672,0.369,0.354556535400464,0.354556535400464
C1,6,4109,0.159909,15.27910995,0.159909,0.160896883754065,0.160896883754065
C1,6,4110,0.168601,161.87031555,0.168601,0.169501787522785,0.169501787522785
C1,6,4111,0.179079,338.84658813,0.179079,0.179890294723231,0.179890294723231
C1,6,4112,0.190741,531.58123779,0.190741,0.191203818658273,0.191203818658273
C1,6,4113,0.201249,708.22619629,0.201249,0.201572877722223,0.201572877722223
C1,6,4114,0.209644,851.45977783,0.209644,0.209980688958621,0.209980688958621
C1,6,4115,0.214943,947.46002197,0.214943,0.215615903289639,0.215615903289639
C1,6,4116,0.217138,975.36566162,0.217138,0.2172539643370939,0.2172539643370939
C1,6,4117,0.214297,931.11468506,0.214297,0.214656432013022,0.214656432013022
C1,6,4118,0.208117,823.2890625,0.208117,0.20832706796875,0.20832706796875
C1,6,4119,0.198111,656.00360107,0.198111,0.198507411382809,0.198507411382809
C1,6,4120,0.186583,462.77050781,0.186583,0.187164628808447,0.187164628808447
C1,6,4121,0.17538,275.32772827,0.17538,0.176161737649449,0.176161737649449
C1,6,4122,0.166166,121.22507477,0.166166,0.167115911888999,0.167115911888999
C1,6,8527,0.168581,192.39338684,0.168581,0.171293491807508,0.171293491807508
C1,6,8528,0.263958,2069.77661133,0.263958,0.281495887085071,0.281495887085071
C1,6,8529,0.769236,5612.91113281,0.769236,0.489477883495947,0.489477883495947
C1,6,8530,1.0,10948.34375,1.0,0.802667778125,0.802667778125
C1,6,8531,0.37669,5857.19775391,0.37669,0.503817508154517,0.503817508154517
C1,6,8532,0.369645,3823.44873047,0.369645,0.384436440478589,0.384436440478589
C1,6,8533,0.375515,3564.42773438,0.375515,0.369231908008106,0.369231908008106
C1,6,8534,0.372557,3637.36889648,0.372557,0.3735135542233759,0.3735135542233759
C1,6,8535,0.322561,2708.02758789,0.322561,0.318961219409143,0.318961219409143
C1,6,8536,0.192247,584.13024902,0.192247,0.194288445617474,0.194288445617474
C1,7,1902,0.182936,435.13421631,0.182936,0.185542378497397,0.185542378497397
C1,7,1903,0.217977,1011.70678711,0.217977,0.219387188403357,0.219387188403357
C1,7,1904,1.0,11432.72949219,1.0,0.8311012211915529,0.8311012211915529
C1,7,1905,1.0,15553.31445312,1.0,1.072979558398144,1.0
C1,7,1906,0.4127,4113.52490234,0.4127,0.4014639117673579,0.4014639117673579
C1,7,1907,0.439531,4570.19384766,0.439531,0.4282703788576419,0.4282703788576419
C1,7,1908,0.442169,4600.67626953,0.442169,0.430059697021411,0.430059697021411
C1,7,1909,0.419289,4240.70263672,0.419289,0.408929244775464,0.408929244775464
C1,7,1910,0.379185,3584.50537109,0.379185,0.370410465282983,0.370410465282983
C1,7,1911,0.324294,2713.81591797,0.324294,0.319300994384839,0.319300994384839
C1,7,1912,0.263922,1727.59667969,0.263922,0.261409925097803,0.261409925097803
C1,7,1913,0.281152,1939.32983398,0.281152,0.2738386612546259,0.2738386612546259
C1,7,4109,0.159954,16.21871185,0.159954,0.160952038385595,0.160952038385595
C1,7,4110,0.168968,169.54927063,0.168968,0.169952542185981,0.169952542185981
C1,7,4111,0.179634,351.9704895,0.179634,0.18066066773365,0.18066066773365
C1,7,4112,0.191473,550.42138672,0.191473,0.192309735400464,0.192309735400464
C1,7,4113,0.202092,733.69268799,0.202092,0.2030677607850129,0.2030677607850129
C1,7,4114,0.210858,883.46740723,0.210858,0.211859536804401,0.211859536804401
C1,7,4115,0.216412,983.10552979,0.216412,0.217708294598673,0.217708294598673
C1,7,4116,0.218352,1011.34442139,0.218352,0.219365917535593,0.219365917535593
C1,7,4117,0.215667,967.94555664,0.215667,0.216818404174768,0.216818404174768
C1,7,4118,0.209439,860.09771729,0.209439,0.210487736004923,0.210487736004923
C1,7,4119,0.199487,688.83447266,0.199487,0.200434583545142,0.200434583545142
C1,7,4120,0.187699,486.94894409,0.187699,0.188583903018083,0.188583903018083
C1,7,4121,0.175893,288.27062988,0.175893,0.176921485973956,0.176921485973956
C1,7,4122,0.166294,124.18865204,0.166294,0.167289873874748,0.167289873874748
C1,7,8527,0.182906,764.24310303,0.182906,0.204861070147861,0.204861070147861
C1,7,8528,1.0,13731.58984375,1.0,0.966044323828125,0.966044323828125
C1,7,8529,1.0,20097.5390625,1.0,1.3397255429687498,1.0
C1,7,8530,1.0,25763.66601562,1.0,1.672327195116894,1.0
C1,7,8531,0.516924,10702.7109375,0.516924,0.78824913203125,0.78824913203125
C1,7,8532,0.457047,5249.49414062,0.457047,0.468145306054394,0.468145306054394
C1,7,8533,0.391202,3784.17114258,0.391202,0.382130846069446,0.382130846069446
C1,7,8534,0.375067,3868.63647461,0.375067,0.387088961059607,0.387088961059607
C1,7,8535,0.291231,2207.8605957,0.291231,0.28960141696759,0.28960141696759
C1,7,8536,0.188388,500.46530151,0.188388,0.189377313198637,0.189377313198637
C1,8,1902,0.191194,593.72009277,0.191194,0.194851369445599,0.194851369445599
C1,8,1903,0.225235,1131.31311035,0.225235,0.226408079577545,0.226408079577545
C1,8,1904,1.0,16265.546875,1.0,1.1147876015625,1.0
C1,8,1905,1.0,19839.0,1.0,1.3245493,1.0
C1,8,1906,0.449128,4599.79052734,0.449128,0.430007703954858,0.430007703954858
C1,8,1907,0.475324,5042.4765625,0.475324,0.4559933742187499,0.4559933742187499
C1,8,1908,0.473277,5004.43994141,0.473277,0.4537606245607669,0.4537606245607669
C1,8,1909,0.444393,4538.70507812,0.444393,0.426421988085644,0.426421988085644
C1,8,1910,0.39679,3765.5078125,0.39679,0.38103530859375,0.38103530859375
C1,8,1911,0.333535,2799.81396484,0.333535,0.324349079736108,0.324349079736108
C1,8,1912,0.266199,1761.29663086,0.266199,0.263388112231482,0.263388112231482
C1,8,1913,0.281389,1894.70031738,0.281389,0.271218908630206,0.271218908630206
C1,8,4109,0.160037,17.55434227,0.160037,0.161030439891249,0.161030439891249
C1,8,4110,0.169795,183.15788269,0.169795,0.170751367713903,0.170751367713903
C1,8,4111,0.181342,379.95666504,0.181342,0.182303456237848,0.182303456237848
C1,8,4112,0.194072,594.38977051,0.194072,0.194890679528937,0.194890679528937
C1,8,4113,0.205622,792.86883545,0.205622,0.206541400640915,0.206541400640915
C1,8,4114,0.215206,955.12945557,0.215206,0.216066099041959,0.216066099041959
C1,8,4115,0.221423,1062.54797363,0.221423,0.222371566052081,0.222371566052081
C1,8,4116,0.223275,1092.84301758,0.223275,0.224149885131946,0.224149885131946
C1,8,4117,0.220559,1046.79284668,0.220559,0.221446740100116,0.221446740100116
C1,8,4118,0.213633,931.20251465,0.213633,0.214661587609955,0.214661587609955
C1,8,4119,0.202919,746.37249756,0.202919,0.203812065606772,0.203812065606772
C1,8,4120,0.190114,527.50561523,0.190114,0.190964579614001,0.190964579614001
C1,8,4121,0.177301,311.68597412,0.177301,0.178295966680844,0.178295966680844
C1,8,4122,0.166881,133.510849,0.166881,0.1678370868363,0.1678370868363
C1,8,8527,0.199577,1266.31335449,0.199577,0.2343325939085629,0.2343325939085629
C1,8,8528,1.0,19704.98242188,1.0,1.316682468164356,1.0
C1,8,8529,1.0,24977.65820312,1.0,1.626188536523144,1.0
C1,8,8530,1.0,28433.62695312,1.0,1.829053902148144,1.0
C1,8,8531,0.589924,11658.58691406,0.589924,0.844359051855322,0.844359051855322
C1,8,8532,0.528895,6198.53222656,0.528895,0.523853841699072,0.523853841699072
C1,8,8533,0.417187,4118.89257812,0.417187,0.4017789943356439,0.4017789943356439
C1,8,8534,0.432373,4563.43945312,0.432373,0.4278738958981439,0.4278738958981439
C1,8,8535,0.317254,2715.39428711,0.317254,0.3193936446533569,0.3193936446533569
C1,8,8536,0.189812,522.34014893,0.189812,0.190661366742191,0.190661366742191
C1,9,1902,0.181412,415.15612793,0.181412,0.184369664709491,0.184369664709491
C1,9,1903,0.205523,800.05584717,0.205523,0.206963278228879,0.206963278228879
C1,9,1904,1.0,12297.88476562,1.0,0.8818858357418939,0.8818858357418939
C1,9,1905,1.0,14378.72949219,1.0,1.0040314211915529,1.0
C1,9,1906,0.359993,3264.53515625,0.359993,0.351628213671875,0.351628213671875
C1,9,1907,0.379573,3594.26879883,0.379573,0.370983578491321,0.370983578491321
C1,9,1908,0.378778,3583.70556641,0.378778,0.3703635167482669,0.3703635167482669
C1,9,1909,0.359053,3260.75097656,0.359053,0.351406082324072,0.351406082324072
C1,9,1910,0.325365,2709.0847168,0.325365,0.31902327287616,0.31902327287616
C1,9,1911,0.280561,2011.69763184,0.280561,0.278086650989008,0.278086650989008
C1,9,1912,0.233722,1260.01391602,0.233722,0.233962816870374,0.233962816870374
C1,9,1913,0.244035,1386.66162109,0.244035,0.241397037157983,0.241397037157983
C1,9,4109,0.159722,12.3337431,0.159722,0.16072399071997,0.16072399071997
C1,9,4110,0.166524,128.95010376,0.166524,0.167569371090712,0.167569371090712
C1,9,4111,0.174594,267.796875,0.174594,0.1757196765625,0.1757196765625
C1,9,4112,0.183454,419.13562012,0.183454,0.184603260901044,0.184603260901044
C1,9,4113,0.191604,559.16851807,0.191604,0.192823192010709,0.192823192010709
C1,9,4114,0.198419,673.61706543,0.198419,0.199541321740741,0.199541321740741
C1,9,4115,0.202563,749.40338135,0.202563,0.203989978485245,0.203989978485245
C1,9,4116,0.203812,770.75634766,0.203812,0.205243397607642,0.205243397607642
C1,9,4117,0.202138,738.21411133,0.202138,0.203333168335071,0.203333168335071
C1,9,4118,0.197286,656.70672607,0.197286,0.198548684820309,0.198548684820309
C1,9,4119,0.189623,526.49682617,0.189623,0.190905363696179,0.190905363696179
C1,9,4120,0.180679,372.32272339,0.180679,0.181855343862993,0.181855343862993
C1,9,4121,0.171831,220.16429138,0.171831,0.172923643904006,0.172923643904006
C1,9,4122,0.164505,94.27125549,0.164505,0.165533722697263,0.165533722697263
C1,9,8527,0.190469,1007.91778564,0.190469,0.219164774017068,0.219164774017068
C1,9,8528,1.0,14795.41308594,1.0,1.028490748144678,1.0
C1,9,8529,1.0,16204.88183594,1.0,1.111226563769678,1.0
C1,9,8530,1.0,18040.06054688,1.0,1.2189515541018558,1.0
C1,9,8531,0.935946,9287.33789062,0.935946,0.705166734179394,0.705166734179394
C1,9,8532,0.511067,5954.31591797,0.511067,0.509518344384839,0.509518344384839
C1,9,8533,0.345903,3069.49267578,0.345903,0.340179220068286,0.340179220068286
C1,9,8534,0.453847,4884.51611328,0.453847,0.446721095849536,0.446721095849536
C1,9,8535,0.326869,3094.56005859,0.326869,0.341650675439233,0.341650675439233
C1,9,8536,0.181174,384.98724365,0.181174,0.182598751202255,0.182598751202255
C1,10,1902,0.166282,138.52964783,0.166282,0.168131690327621,0.168131690327621
C1,10,1903,0.175071,274.84860229,0.175071,0.176133612954423,0.176133612954423
C1,10,1904,0.66765,3395.74511719,0.66765,0.359330238379053,0.359330238379053
C1,10,1905,0.339318,3283.49560547,0.339318,0.352741192041089,0.352741192041089
C1,10,1906,0.228569,1090.04528809,0.228569,0.223985658410883,0.223985658410883
C1,10,1907,0.237089,1238.98352051,0.237089,0.232728332653937,0.232728332653937
C1,10,1908,0.239399,1287.59765625,0.239399,0.235581982421875,0.235581982421875
C1,10,1909,0.235349,1223.26574707,0.235349,0.231805699353009,0.231805699353009
C1,10,1910,0.224528,1056.59863281,0.224528,0.222022339745947,0.222022339745947
C1,10,1911,0.208218,806.57897949,0.208218,0.207346186096063,0.207346186096063
C1,10,1912,0.189585,513.76300049,0.189585,0.190157888128763,0.190157888128763
C1,10,1913,0.196009,604.24633789,0.196009,0.195469260034143,0.195469260034143
C1,10,4109,0.159259,4.40692329,0.159259,0.160258686397123,0.160258686397123
C1,10,4110,0.16172,46.49194717,0.16172,0.162729077298879,0.162729077298879
C1,10,4111,0.164667,96.97799683,0.164667,0.165692608413921,0.165692608413921
C1,10,4112,0.167923,151.86654663,0.167923,0.168914566287181,0.168914566287181
C1,10,4113,0.170877,202.25646973,0.170877,0.171872454773151,0.171872454773151
C1,10,4114,0.173295,243.14852905,0.173295,0.174272818655235,0.174272818655235
C1,10,4115,0.17478,270.28970337,0.17478,0.175866005587819,0.175866005587819
