case,view,time_index,reference_DGP,EIGCM_DGP,Raytraverse_balanced_DGP,reference_Z,EIGCM_Z,Raytraverse_balanced_Z,contrast_valid
C1,V1,7,0.164286,0.1647389,0.1647229032001192,0.0,0.0,0.0,True
C1,V1,8,0.191071,0.1908967,0.1898957543976089,9.022717389050172e-07,4.648260870413045e-07,0.0,True
C1,V1,9,0.299678,0.2962077,0.2967242440037257,0.0752018757076087,0.0354479238043479,0.0588628209282542,True
C1,V1,10,0.379333,0.36714,0.3693317146522091,0.1165713067228259,0.0404501923913047,0.0901388685711862,True
C1,V1,11,0.46467,0.4413131,0.4316038151691092,0.3964575293978264,0.0457102560869564,0.122306621750794,True
C1,V1,12,0.919854,0.9938585,0.9755726729078568,2.6434189534456527,3.1913643188043475,3.225063265502167,True
C1,V1,13,0.326324,0.3221584,0.3166497853824472,0.1596095330858697,0.109310573804348,0.1676256634584942,True
C1,V1,14,0.305777,0.3024979,0.2986567781095119,0.1700571271782613,0.1208424715217388,0.1882433396697797,True
C1,V1,15,1.0,1.0,1.0,0.0,0.0,3.923179150310339,False
C1,V1,16,0.255836,0.252497,0.2567662842061963,0.3020974912076086,0.2117638658695654,0.3537033188397104,True
C1,V1,31,0.165989,0.1667464,0.1661749261965407,0.0,0.0,0.0,True
C1,V1,32,0.248432,0.2469429,0.2339353243671128,0.1572623961978258,0.0024261402173912,0.0696798769889382,True
C1,V1,33,0.302022,0.2982749,0.3001004465724343,0.0784215859565218,0.0316246743478264,0.0517934058951328,True
C1,V1,34,0.41548,0.3749012,0.3810876012272803,0.4008441302891308,0.0368416468478259,0.1180914171431706,True
C1,V1,35,0.311106,0.3051255,0.3023865249456373,0.1430983939630433,0.0943297250000001,0.1447482824257994,True
C1,V1,36,0.976365,1.0,1.0,2.8129538869021733,2.7986705148913043,3.305516052114444,False
C1,V1,37,1.0,1.0,1.0,0.0,0.0,3.167196551258458,False
C1,V1,38,1.0,1.0,1.0,0.0,0.0,3.500978402987,False
C1,V1,39,0.276254,0.2733519,0.2712186059928512,0.1870166047836956,0.1325143910869562,0.2177572799230113,True
C1,V1,40,0.18406,0.1847679,0.1832587762022045,3.5620065218656056e-06,0.0,0.0,True
C1,V1,55,0.168824,0.1699801,0.1687479499518998,5.8563152183946e-07,1.8151086943860395e-07,0.0,True
C1,V1,56,0.195618,0.1953544,0.1940851979885994,0.0,0.0,0.0,True
C1,V1,57,0.3463,0.3401387,0.3504363279788438,0.1163897279739133,0.037500341956522,0.1218111797995439,True
C1,V1,58,0.284396,0.2778034,0.2776570855720357,0.1316564223728259,0.076895473043478,0.132804041244213,True
C1,V1,59,0.560871,0.5362518,0.5235224658029753,0.4650925822815219,0.038415022717391,0.1298259566058784,True
C1,V1,60,0.348137,0.3431664,0.3379112408226224,0.1495901084771736,0.1024898659782607,0.1549731403922664,True
C1,V1,61,0.357386,0.3545856,0.345963882549839,0.1593302199945652,0.1154738104347826,0.1701856955795365,True
C1,V1,62,1.0,1.0,1.0,0.0,0.0,3.488222138859886,False
C1,V1,63,0.286111,0.2838991,0.2803249681619206,0.1918329681347826,0.1414994644565221,0.2264074964213067,True
C1,V1,64,0.221479,0.2122423,0.2210437077222651,0.1884038634000001,0.0691219744999999,0.214188593823813,True
C1,V1,79,0.163188,0.1637849,0.163755928545453,0.0,2.45065218118512e-08,0.0,True
C1,V1,80,0.241791,0.2400962,0.2277248024998049,0.162096711503261,5.276086955615125e-07,0.0735366984165028,True
C1,V1,81,0.267385,0.2647386,0.26631443688251,0.0774538136673912,0.0226321754347824,0.0494437163568763,True
C1,V1,82,0.453755,0.4095269,0.4247048770643254,0.4241353013315216,0.0263370514130438,0.1480942095029633,True
C1,V1,83,0.378664,0.3784257,0.369562221768663,0.1619135790282609,0.0397047964130433,0.1187429391606124,True
C1,V1,84,1.0,1.0,1.0,2.2210986153913046,1.6286250445652173,3.494424930159497,False
C1,V1,85,1.0,1.0,1.0,0.0,0.0,3.1873235077120525,False
C1,V1,86,1.0,1.0,1.0,0.0,0.0,3.538539791541226,False
C1,V1,87,1.0,1.0,1.0,0.0,0.0,3.944185639575621,False
C1,V1,88,0.169392,0.1694392,0.1696602143961843,3.625444565029571e-06,0.0,0.0,True
C1,V1,103,0.165491,0.1660268,0.1657707676507258,0.0,0.0,0.0,True
C1,V1,104,0.225536,0.2279706,0.2175352130653026,0.0484089998663042,0.0025612545652172,0.0179491726593807,True
C1,V1,105,0.322486,0.3180812,0.3282864030207639,0.0999927144130433,0.0266814790217392,0.1118533652308936,True
C1,V1,106,0.443964,0.4008373,0.412255217996217,0.4250003904913047,0.0324588415217393,0.1352083732415867,True
C1,V1,107,0.466061,0.4425397,0.4327690741115177,0.4053672063021744,0.0442133306521738,0.1231403367221646,True
C1,V1,108,0.32449,0.319176,0.3156984784304838,0.1503387469369566,0.1008240240217392,0.1555878454505288,True
C1,V1,109,1.0,1.0,1.0,0.0,0.0,3.014108666290765,False
C1,V1,110,1.0,1.0,1.0,0.0,0.0,3.462210772199975,False
C1,V1,111,1.0,1.0,1.0,0.0,0.0,3.9136456672868114,False
C1,V1,112,0.221313,0.2118163,0.2199957713715252,0.1859653877684784,0.0670325797717391,0.2044382082783258,True
C1,V1,127,0.160937,0.1609326,0.1617931263351599,0.0,4.15373913103365e-07,0.0,True
C1,V1,128,0.177292,0.1772809,0.1771091464202993,0.0,0.0,0.0,True
C1,V1,129,0.195053,0.1949641,0.1936144658062628,0.0,0.0,0.0,True
C1,V1,130,0.215013,0.213074,0.2125116792119807,0.0422258642891305,0.0234632094130435,0.0424137824827264,True
C1,V1,131,0.232354,0.2270246,0.2305055988169634,0.0952294405021741,0.0416029159782608,0.1165237180432352,True
C1,V1,132,0.238289,0.2349306,0.2354932179975252,0.1087835214978258,0.073771880217391,0.1183994164629284,True
C1,V1,133,0.234492,0.2318285,0.2319893518529439,0.1053002059717392,0.0755053945652173,0.1199125766402641,True
C1,V1,134,0.219492,0.2162896,0.2181723998044532,0.0710130287804347,0.0356155695760867,0.0878725189168668,True
C1,V1,135,0.195088,0.1952255,0.1932111151435493,1.968881521888836e-06,4.797391303656973e-07,0.0,True
C1,V1,136,0.175868,0.176029,0.1755986460915323,3.879849999852016e-06,4.559782608859958e-07,0.0,True
C1,V1,151,0.164016,0.1642841,0.1644739298098866,1.6110858694834176e-06,0.0,0.0,True
C1,V1,152,0.207996,0.2094717,0.2043682696527752,0.0080225176173913,0.0,0.010703931949052,True
C1,V1,153,0.195407,0.1953836,0.1940083317906128,2.298919565281021e-06,4.772173912076275e-07,0.0,True
C1,V1,154,0.216258,0.2140384,0.2147839186368028,0.0467814545489132,0.0245134490978258,0.0582466537744918,True
C1,V1,155,0.232804,0.2291262,0.2309202664416728,0.0965584364532611,0.0596414802173912,0.1165179679618665,True
C1,V1,156,0.640419,0.7181736,0.7045062084750092,2.0132173033630427,2.669601736195652,2.7190397385465546,True
C1,V1,157,0.843611,0.8751054,0.9626895315859508,2.31045561271087,2.522645938586957,2.7138825044176804,True
C1,V1,158,1.0,1.0,1.0,2.0926997124619566,2.332396571739131,3.1429770068928606,False
C1,V1,159,1.0,1.0,1.0,2.3603770879782617,2.390639732608696,3.687112444909999,False
C1,V1,160,0.176451,0.1765907,0.1761062379911663,4.184132608623429e-06,5.67565217348397e-07,0.0,True
C1,V1,175,0.16508,0.1654655,0.1654261564518762,3.450391304193407e-07,0.0,0.0,True
C1,V1,176,0.219579,0.2202801,0.2133091617910577,0.0449350819065218,0.0041294833695651,0.0227207229827457,True
C1,V1,177,0.281131,0.2792021,0.2791204205192178,0.0674851148195653,0.0402964305434783,0.0734872679023067,True
C1,V1,178,0.342371,0.3362862,0.3343481084729968,0.0603578149413043,0.0491335821739127,0.0636249253957139,True
C1,V1,179,0.403339,0.4010949,0.3901741664529782,0.112645049851087,0.0557547121739127,0.0894340186873468,True
C1,V1,180,0.766324,0.8395433,0.8225224053948473,2.2960232693869567,2.9729891875000005,3.0168960741025383,True
C1,V1,181,0.97654,1.0,1.0,2.345793209840217,1.9197260010869577,2.906772565254394,False
