case,view_id,time_index,reference_DGP,reference_Ev_lx,EIGCM_DGP,EIGCM_Ev_lx,Jones_dcglare_DGP,Jones_dcglare_Ev_lx,Raytraverse_Balanced_DGP,Raytraverse_Balanced_Ev_lx,Raytraverse_High_DGP,Raytraverse_High_Ev_lx
C1,2,1906,0.251218,1494.228,0.2435238,1420.7198,0.2496943,1451.07177734,0.24885612,1427.31544612,0.24684941,1398.44235021
C1,2,1907,0.263164,1703.183,0.2543934,1607.9364,0.2605763,1645.55163574,0.25974894,1618.88348626,0.2578406,1592.26721216
C1,2,1908,0.267149,1775.472,0.2577703,1667.3567,0.2634805,1708.27404785,0.26276696,1677.6812277,0.26075105,1646.32116877
C1,2,1909,0.261781,1689.446,0.2529348,1586.7065,0.258333,1625.68322754,0.25757881,1595.74724591,0.2557823,1567.26973411
C1,2,1910,0.248185,1468.073,0.2404276,1377.8667,0.2453902,1413.02111816,0.24514595,1390.60141214,0.24280515,1353.52392377
C1,2,1911,0.227069,1123.009,0.221756,1060.652,0.2261476,1089.36547852,0.22519842,1064.70637877,0.2235621,1036.47833937
C1,2,1912,0.201951,719.779,0.1990498,682.28021,0.20249834,701.11456299,0.20051201,671.4544194,0.19986948,662.22693696
C1,2,1913,0.208747,819.915,0.2058878,791.37866,0.21024624,814.090271,0.20643641,767.70040239,0.20571659,744.38818942
C1,2,4109,0.159368,6.27,0.1593491,5.9463806,0.16035719,6.08261633,0.16034697,5.91084853,0.16034069,5.80393614
C1,2,4110,0.162872,65.96,0.1626741,62.590527,0.16376065,64.04361725,0.1636838,62.75631963,0.16358327,61.04373963
C1,2,4111,0.167051,137.153,0.1666552,130.41304,0.16783587,133.45671082,0.16757618,129.06611721,0.16747476,127.33831799
C1,2,4112,0.171617,214.946,0.1709807,204.09987,0.17226159,208.86190796,0.17198109,204.10719733,0.17168742,199.10421489
C1,2,4113,0.175836,286.818,0.1749482,271.69073,0.17631978,278.01123047,0.17605094,273.44015453,0.17559221,265.62536049
C1,2,4114,0.179224,344.537,0.1781628,326.45358,0.17960754,334.02609253,0.17931452,329.03779664,0.17874997,319.42031579
C1,2,4115,0.181412,381.808,0.1802923,362.73019,0.18319232,371.1368103,0.18131139,363.05603188,0.1808514,355.21978682
C1,2,4116,0.181985,391.561,0.1809106,373.26398,0.18382904,381.92007446,0.18185476,372.31272717,0.18145422,365.4892171
C1,2,4117,0.181122,376.868,0.1799774,357.36578,0.18289181,365.65066528,0.1809893,357.56891871,0.18049181,349.09380785
C1,2,4118,0.178532,332.746,0.1776317,317.40482,0.17906389,324.76419067,0.1785087,315.31001776,0.17819346,309.93965049
C1,2,4119,0.174649,266.591,0.1739162,254.10834,0.17526362,260.01629639,0.1749179,254.13806666,0.17455843,248.01415443
C1,2,4120,0.170128,189.571,0.1695553,179.81798,0.17080408,184.02633667,0.17050521,178.9644258,0.1703135,175.69840742
C1,2,4121,0.165587,112.211,0.1652727,106.85999,0.16642308,109.39125824,0.16624274,106.34998775,0.16612461,104.33744221
C1,2,4122,0.161872,48.932,0.161727,46.456234,0.16279364,47.57558441,0.16269945,45.9872352,0.16266454,45.39241941
C1,2,8527,0.170976,138.553,0.2130348,153.10251,0.25223719,342.91445923,0.16773494,131.77071765,0.16833543,134.78287525
