case,view_id,method,n,RMSE
C1,28,Raytraverse Balanced,36,0.029971100832764302
C1,28,Raytraverse High,36,0.024987297824260506
C1,29,EIGCM (MF1),36,0.006414477386198778
C1,29,Jones dcglare,36,0.009982948983393573
C1,29,Raytraverse Balanced,36,0.013768463698991528
C1,29,Raytraverse High,36,0.008915054071326332
C1,30,EIGCM (MF1),36,0.00350933023385914
C1,30,Jones dcglare,36,0.007735846391251873
C1,30,Raytraverse Balanced,36,0.0786620708849386
C1,30,Raytraverse High,36,0.07887331367481865
C1,31,EIGCM (MF1),36,0.004783529477743871
C1,31,Jones dcglare,36,0.02284433788476576
C1,31,Raytraverse Balanced,36,0.15915742572568997
C1,31,Raytraverse High,36,0.16004356195105138
C1,32,EIGCM (MF1),36,0.005916679339775166
C1,32,Jones dcglare,36,0.0366992782009455
C1,32,Raytraverse Balanced,36,0.20071158483303503
C1,32,Raytraverse High,36,0.20154008811751792
C1,33,EIGCM (MF1),36,0.014150581979943835
C1,33,Jones dcglare,36,0.019323136462088802
C1,33,Raytraverse Balanced,36,0.10486466181050416
C1,33,Raytraverse High,36,0.10387170897925443
C1,34,EIGCM (MF1),36,0.006843199721499682
C1,34,Jones dcglare,36,0.011480999271254054
C1,34,Raytraverse Balanced,36,0.0697779540233254
C1,34,Raytraverse High,36,0.0691974545846952
C1,35,EIGCM (MF1),36,0.007439477684025344
C1,35,Jones dcglare,36,0.005029286573746765
C1,35,Raytraverse Balanced,36,0.0049656593751303026
C1,35,Raytraverse High,36,0.0038326458529106652
C1,36,EIGCM (MF1),36,0.00741746072563844
C1,36,Jones dcglare,36,0.03826430486544485
C1,36,Raytraverse Balanced,36,0.08131163987915663
C1,36,Raytraverse High,36,0.0800831102733198
C1,37,EIGCM (MF1),36,0.007011430022510072
C1,37,Jones dcglare,36,0.05932402061870295
C1,37,Raytraverse Balanced,36,0.1326096678211209
C1,37,Raytraverse High,36,0.13132087155091013
C1,38,EIGCM (MF1),36,0.009315902829212715
C1,38,Jones dcglare,36,0.07821396357736098
C1,38,Raytraverse Balanced,36,0.14139571044394092
C1,38,Raytraverse High,36,0.14082681957274926
C1,39,EIGCM (MF1),36,0.009008044333939647
C1,39,Jones dcglare,36,0.05161060943778479
C1,39,Raytraverse Balanced,36,0.1449131333856636
C1,39,Raytraverse High,36,0.14406547791082178
C1,40,EIGCM (MF1),36,0.009706175331185925
C1,40,Jones dcglare,36,0.013179889639654295
C1,40,Raytraverse Balanced,36,0.10674608509837423
C1,40,Raytraverse High,36,0.10638897795450707
